customer_id,name,phone,email,city,signup_date
C0001,Allison Hill,1960013389,hoffmanjennifer@example.net,Delhi,2024-10-10
C0002,Kevin Pacheco,4235116155,lindsay78@example.org,Faridabad,2026-06-14
C0003,Juan Calderon,0341316475,mitchellclark@example.com,Gurugram,2025-05-22
C0004,Andrea Reid,4835030564,clarksherri@example.net,Mumbai,2023-11-15
C0005,Jennifer Rocha,3884969653,williamdavis@example.org,Lucknow,2026-01-05
C0006,Christopher Becker,7848018451,,Gurugram,2023-10-16
C0007,Aaron Bowen,1489325288,georgetracy@example.org,Mumbai,2026-04-12
C0008,Sandra Parker,1718227824,ibrandt@example.net,Mumbai,2025-05-05
C0009,Jennifer Powers,1331509839,adrianzimmerman@example.org,Mumbai,2023-07-16
C0010,Shannon Jones,8299737631,hopkinsmichael@example.com,Chandigarh,2024-06-20
C0011,Megan Joyce,1333872624,ewright@example.com,Delhi,2025-10-21
C0012,Annette Pearson,6773602606,sara74@example.com,Noida,2025-05-15
C0013,Rachel Stanley,3098050097,brianromero@example.org,Jaipur,2022-11-28
C0014,Scott Powell,9169985435,josephanderson@example.net,Faridabad,2023-10-25
C0015,Paul Jones,1838425135,eric84@example.net,Jaipur,2026-06-29
C0016,Kendra Contreras,1182449353,william40@example.org,Lucknow,2025-02-15
C0017,Amanda Cook,8680112805,russellwilliams@example.com,Jaipur,2026-02-28
C0018,Shannon Nolan,8692322602,kimberly63@example.com,Delhi,2023-04-07
C0019,Janet Williams,5433036541,michael86@example.net,Mumbai,2026-06-26
C0020,Teresa Wilson,0196556981,mlam@example.com,Lucknow,2022-10-25
C0021,Joseph Drake,5951484656,,Ghaziabad,2025-05-16
C0022,Cheryl Ortega,4680443699,steven73@example.net,Pune,2024-06-29
C0023,Rebecca Jackson,5134332003,xcarr@example.org,Jaipur,2024-06-04
C0024,Laura Higgins,2016328708,samanthamartinez@example.org,Gurugram,2025-10-12
C0025,Victoria Larson,8727743487,,Faridabad,2025-02-04
C0026,Billy Mitchell,1223623166,amy60@example.org,Gurugram,2025-11-26
C0027,Randy Shah,0546688937,joshuatucker@example.com,Gurugram,2023-12-16
C0028,Jennifer Martin,0699016272,greenmark@example.com,Chandigarh,2023-12-03
C0029,Jamie Walton,0805310033,howelljohn@example.com,Jaipur,2025-04-06
C0030,Claudia Lyons,1241904966,charlesvaughn@example.net,Jaipur,2023-08-05
